year,industry1,industry2,industry3,employment_change
2007,services,transport and storage,water transport and supporting services,5.4
2007,services,transport and storage,air transport and supporting services,-4.8
2007,services,transport and storage,other transport and storage services,1.4
2007,services,hotels and restaurants,hotels,0.6
2007,services,hotels and restaurants,restaurants,15.7
2007,services,information and communications,broadcasting and publishing,0.6
2007,services,information and communications,telecommunications,0.5
2007,services,information and communications,it and other information services,5.2
2007,services,financial services,financial institutions,20.9
2007,services,financial services,insurance,1
2007,services,real estate and leasing services,real estate and leasing services,8.6
2007,services,professional services,"legal, accounting and management services",9.9
2007,services,professional services,architectural and engineering services,6.4
2007,services,professional services,other professional services,5.8
2007,services,"community, social and personal services",education and public administration,6.3
2007,services,"community, social and personal services",health and social services,5.6
2007,services,"community, social and personal services","other community, social and personal services",20.3
2008,others,others,others,1.6
2008,construction,construction,construction,64
2008,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",1.3
2008,manufacturing,paper products and printing,paper products and printing,0.7
2008,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",11.1
2008,manufacturing,rubber and plastic products,rubber and plastic products,-1.5
2008,manufacturing,fabricated metal products,fabricated metal products,2.2
2008,manufacturing,machinery and equipment,machinery and equipment,-1.8
2008,manufacturing,electrical products,electrical products,0.8
2008,manufacturing,electronic products,electronic products,-7.2
2008,manufacturing,medical and precision instruments,medical and precision instruments,1.1
2008,manufacturing,transport equipment,transport equipment,10.3
2008,manufacturing,other manufacturing industries,other manufacturing industries,2.4
2008,services,wholesale and retail trade,wholesale trade,8.9
2008,services,wholesale and retail trade,retail trade,7.5
2008,services,transport and storage,land transport and supporting services,5
2008,services,transport and storage,water transport and supporting services,3.5
2008,services,transport and storage,air transport and supporting services,1.4
2008,services,transport and storage,other transport and storage services,3.9
2008,services,hotels and restaurants,hotels,0.1
2008,services,hotels and restaurants,restaurants,16.7
2008,services,information and communications,broadcasting and publishing,0.1
2008,services,information and communications,telecommunications,1
2008,services,information and communications,it and other information services,4.5
2008,services,financial services,financial institutions,10.5
2008,services,financial services,insurance,0.9
2008,services,real estate and leasing services,real estate and leasing services,6.9
2008,services,professional services,"legal, accounting and management services",6.8
2008,services,professional services,architectural and engineering services,6.8
2008,services,professional services,other professional services,4.5
2008,services,"community, social and personal services",education and public administration,6.6
2008,services,"community, social and personal services",health and social services,6.6
2008,services,"community, social and personal services","other community, social and personal services",22.9
2009,others,others,others,-1.2
2009,construction,construction,construction,24.2
2009,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",1.2
2009,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-3.6
2009,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",6.7
2009,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-10.1
2009,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-10.2
2009,manufacturing,transport equipment,transport equipment,-24.4
2009,manufacturing,other manufacturing industries,other manufacturing industries,-2.3
2009,services,wholesale and retail trade,wholesale trade,1.9
2009,services,wholesale and retail trade,retail trade,2.7
2009,services,transportation and storage,land transport and supporting services,0.7
